72,146,220,285,337,386,434,490,556,624,683,727,760,792,829,874,920,959,990,1019,1052,1100,1156,1205
152,311,477,633,759,875,988,1111,1250,1401,1546,1664,1761,1858,1963,2083,2206,2313,2395,2464,2535,2632,2746,2849
237,489,763,1030,1248,1446,1639,1842,2064,2309,2550,2754,2932,3115,3311,3528,3755,3963,4130,4264,4382,4523,4684,4831
316,661,1048,1434,1755,2042,2319,2604,2909,3243,3568,3846,4095,4354,4630,4934,5257,5565,5825,6034,6200,6376,6568,6743
387,820,1319,1828,2262,2644,3001,3356,3727,4132,4526,4865,5166,5473,5797,6153,6532,6898,7216,7476,7678,7883,8102,8301
464,982,1586,2215,2763,3238,3667,4080,4505,4968,5423,5823,6181,6541,6915,7319,7743,8152,8512,8811,9046,9284,9538,9770
537,1126,1807,2518,3145,3690,4180,4646,5122,5642,6159,6617,7026,7431,7845,8287,8743,9179,9566,9892,10151,10415,10697,10956
615,1282,2039,2825,3525,4132,4678,5192,5712,6281,6852,7360,7814,8262,8717,9198,9688,10157,10579,10942,11231,11521,11826,12105
698,1455,2303,3181,3977,4662,5270,5831,6388,6994,7608,8161,8661,9160,9670,10200,10736,11255,11736,12159,12494,12817,13145,13441
766,1597,2524,3491,4391,5176,5864,6482,7081,7728,8390,8993,9546,10105,10680,11262,11844,12417,12967,13458,13843,14199,14549,14862
839,1745,2755,3817,4825,5715,6491,7181,7844,8558,9289,9953,10560,11173,11802,12429,13050,13665,14265,14807,15241,15645,16037,16382
907,1882,2966,4108,5197,6163,7008,7763,8496,9292,10107,10843,11511,12180,12859,13529,14190,14849,15497,16086,16568,17018,17449,17823
989,2046,3212,4430,5583,6604,7501,8307,9095,9957,10839,11633,12352,13069,13793,14503,15206,15915,16621,17272,17813,18311,18775,19172
1099,2264,3534,4845,6074,7160,8119,8979,9812,10720,11645,12476,13231,13988,14755,15506,16252,17014,17788,18516,19127,19678,20176,20596
1213,2486,3861,5273,6595,7773,8830,9780,10687,11663,12650,13534,14342,15160,15992,16798,17595,18415,19257,20053,20720,21314,21843,22284
1313,2677,4133,5619,7013,8265,9403,10435,11416,12456,13502,14439,15300,16177,17072,17938,18794,19679,20592,21451,22168,22809,23381,23853
1434,2908,4455,6016,7476,8792,9994,11089,12131,13227,14326,15313,16222,17147,18091,19007,19917,20862,21837,22752,23523,24221,24845,25354
1570,3166,4812,6449,7970,9341,10592,11732,12817,13956,15097,16124,17072,18035,19017,19971,20922,21911,22932,23893,24715,25467,26138,26681
1680,3373,5096,6793,8363,9780,11076,12258,13381,14556,15729,16786,17764,18761,19781,20769,21749,22767,23822,24818,25678,26464,27162,27728
1741,3491,5264,7009,8631,10112,11481,12735,13921,15150,16367,17462,18477,19514,20577,21603,22613,23658,24743,25770,26660,27471,28186,28764
1787,3585,5406,7200,8875,10417,11854,13176,14425,15711,16979,18120,19178,20257,21363,22428,23470,24544,25658,26712,27625,28456,29186,29775
1851,3720,5616,7486,9240,10858,12372,13775,15110,16482,17826,19033,20148,21278,22435,23554,24646,25766,26924,28017,28965,29832,30594,31205
1940,3907,5906,7881,9744,11466,13077,14580,16023,17502,18937,20218,21396,22584,23801,24991,26153,27335,28549,29694,30693,31614,32425,33070
2039,4113,6223,8311,10294,12136,13856,15463,17011,18587,20099,21442,22674,23916,25195,26464,27702,28948,30218,31416,32469,33447,34309,34992
