127,254,381,508,635,762,888,1014,1141,1267,1391,1514,1637,1760,1882,2004,2125,2246,2367,2487,2607,2727,2847,2966
254,508,762,1016,1270,1524,1776,2028,2282,2534,2782,3028,3274,3520,3764,4008,4251,4493,4735,4975,5215,5455,5694,5932
381,762,1143,1523,1903,2283,2661,3039,3419,3797,4169,4538,4907,5275,5641,6007,6372,6735,7097,7457,7817,8176,8534,8891
508,1016,1524,2030,2536,3042,3546,4050,4556,5060,5557,6050,6542,7032,7520,8008,8494,8977,9459,9939,10418,10896,11373,11849
635,1270,1905,2538,3171,3804,4435,5066,5699,6328,6950,7567,8183,8796,9406,10015,10622,11225,11826,12425,13024,13621,14217,14813
762,1524,2286,3047,3808,4569,5328,6087,6848,7604,8352,9094,9834,10571,11304,12034,12762,13485,14205,14924,15643,16359,17074,17789
890,1780,2670,3560,4450,5341,6230,7120,8012,8897,9773,10641,11506,12367,13224,14077,14927,15770,16610,17449,18288,19124,19959,20794
1020,2040,3060,4080,5100,6123,7145,8168,9192,10207,11211,12206,13196,14182,15163,16140,17112,18076,19036,19995,20954,21910,22865,23820
1151,2302,3452,4603,5756,6917,8080,9244,10407,11558,12695,13820,14937,16049,17155,18256,19350,20435,21516,22595,23674,24750,25825,26900
1281,2562,3842,5126,6419,7729,9049,10373,11695,13002,14288,15554,16805,18047,19278,20501,21715,22920,24122,25321,26520,27717,28913,30108
1411,2824,4242,5673,7125,8606,10105,11614,13122,14610,16067,17493,18894,20276,21638,22985,24319,25642,26962,28281,29601,30921,32240,33557
1566,3139,4725,6335,7977,9658,11362,13078,14793,16484,18135,19742,21310,22845,24347,25826,27286,28730,30169,31607,33048,34491,35934,37373
1762,3536,5330,7155,9020,10929,12861,14804,16745,18660,20528,22338,24091,25793,27446,29066,30660,32232,33795,35354,36915,38480,40045,41605
1995,4005,6039,8107,10217,12372,14548,16733,18915,21071,23176,25209,27164,29045,30858,32626,34360,36067,37760,39445,41128,42813,44498,46177
2242,4501,6785,9104,11465,13870,16294,18727,21158,23564,25916,28183,30350,32417,34396,36316,38194,40039,41866,43682,45491,47298,49101,50897
2485,4989,7521,10089,12699,15351,18020,20698,23376,26030,28627,31127,33506,35759,37904,39978,42003,43990,45954,47904,49842,51774,53697,55609
2716,5454,8226,11038,13892,16786,19694,22612,25532,28428,31262,33986,36568,39001,41308,43533,45704,47834,49937,52022,54090,56148,58193,60223
2937,5900,8905,11957,15051,18182,21323,24473,27626,30753,33811,36745,39518,42122,44584,46954,49267,51538,53779,55998,58195,60379,62547,64698
3156,6341,9577,12867,16200,19567,22937,26311,29685,33029,36296,39426,42378,45143,47753,50263,52714,55123,57500,59851,62177,64487,66778,69051
3382,6795,10266,13797,17371,20973,24569,28160,31743,35288,38750,42066,45190,48110,50864,53512,56101,58648,61160,63642,66096,68531,70945,73340
3619,7269,10979,14751,18564,22396,26210,30008,33789,37524,41170,44664,47955,51029,53931,56722,59452,62139,64786,67398,69977,72534,75068,77584
3862,7753,11702,15711,19758,23813,27836,31831,35800,39714,43533,47194,50646,53875,56929,59867,62741,65569,68350,71090,73789,76462,79112,81745
4104,8234,12418,16657,20929,25198,29422,33607,37756,41841,45823,49641,53248,56633,59844,62935,65957,68926,71839,74702,77515,80297,83056,85801
4343,8708,13122,17585,22073,26549,30969,35339,39664,43916,48056,52027,55787,59330,62704,65954,69127,72236,75277,78257,81179,84064,86927,89780
