168,340,521,710,899,1086,1260,1430,1607,1790,1971,2152,2338,2526,2702,2868,3036,3214,3399,3581,3762,3940,4116,4293
333,674,1033,1408,1786,2162,2516,2863,3221,3589,3951,4312,4681,5054,5410,5747,6086,6443,6814,7182,7548,7907,8261,8617
496,1003,1535,2090,2652,3215,3752,4280,4820,5371,5915,6455,7001,7552,8089,8603,9118,9655,10212,10767,11320,11862,12395,12930
659,1331,2031,2758,3496,4238,4953,5659,6377,7107,7832,8548,9262,9979,10692,11385,12080,12797,13534,14272,15009,15733,16443,17154
821,1657,2522,3416,4323,5232,6114,6990,7882,8786,9686,10571,11444,12318,13200,14070,14945,15840,16749,17661,18577,19481,20367,21251
975,1969,2994,4051,5125,6197,7238,8276,9336,10410,11480,12530,13563,14596,15645,16687,17737,18806,19885,20968,22062,23146,24211,25272
1112,2252,3432,4652,5896,7137,8342,9544,10772,12014,13252,14464,15652,16842,18057,19268,20486,21723,22972,24228,25499,26762,28007,29249
1249,2536,3873,5257,6673,8090,9467,10839,12236,13646,15052,16420,17753,19092,20472,21852,23239,24647,26071,27502,28948,30387,31811,33234
1401,2848,4349,5898,7484,9078,10631,12174,13738,15315,16890,18410,19882,21366,22914,24470,26034,27621,29226,30834,32454,34067,35668,37270
1568,3187,4860,6577,8330,10096,11821,13530,15254,16996,18742,20419,22038,23678,25403,27145,28895,30666,32452,34241,36038,37827,39606,41386
1750,3554,5409,7299,9215,11144,13034,14904,16785,18690,20603,22445,24229,26040,27948,29879,31818,33776,35748,37721,39698,41664,43621,45580
1941,3936,5976,8040,10121,12217,14279,16321,18372,20449,22535,24553,26516,28509,30603,32723,34851,36997,39156,41310,43465,45608,47743,49882
2133,4319,6546,8792,11052,13331,15580,17810,20046,22304,24570,26771,28920,31100,33383,35693,38011,40346,42690,45019,47349,49670,51986,54307
2321,4697,7117,9558,12014,14491,16938,19364,21792,24235,26685,29071,31407,33777,36252,38755,41266,43791,46317,48817,51322,53824,56323,58827
2510,5079,7697,10338,12991,15664,18305,20924,23544,26177,28816,31393,33923,36489,39158,41855,44560,47274,49978,52650,55332,58016,60699,63387
2696,5455,8269,11109,13958,16828,19663,22474,25286,28114,30950,33725,36455,39222,42090,44983,47882,50786,53674,56527,59391,62259,65126,67997
2879,5823,8829,11867,14914,17982,21014,24022,27033,30064,33104,36082,39015,41986,45058,48151,51247,54346,57426,60468,63516,66567,69618,72673
3059,6184,9379,12614,15861,19131,22366,25579,28797,32036,35283,38466,41602,44775,48049,51344,54642,57944,61226,64465,67701,70937,74176,77422
3237,6541,9923,13355,16806,20281,23724,27147,30574,34020,37471,40856,44192,47561,51029,54521,58023,61535,65027,68470,71900,75328,78765,82214
3413,6894,10462,14092,17750,21432,25082,28710,32338,35978,39621,43197,46722,50278,53930,57607,61302,65016,68714,72361,75992,79623,83269,86932
3582,7231,10971,14784,18638,22518,26361,30176,33985,37804,41630,45390,49099,52839,56673,60529,64404,68306,72202,76048,79879,83712,87564,91437
3748,7559,11460,15438,19466,23523,27538,31520,35495,39481,43479,47412,51295,55213,59228,63262,67313,71397,75488,79532,83563,87597,91651,95726
3910,7880,11935,16063,20241,24450,28617,32752,36882,41025,45182,49275,53321,57408,61600,65816,70051,74324,78612,82857,87091,91328,95583,99856
4065,8189,12393,16662,20975,25321,29629,33910,38188,42478,46781,51025,55227,59475,63837,68241,72673,77147,81637,86086,90525,94967,99425,103898
