14,25,33,40,49,61,89,140,209,281,348,410,468,522,570,612,648,680,709,737,762,786,811,838
27,48,64,79,99,127,190,298,438,581,712,832,944,1048,1140,1220,1291,1355,1413,1468,1519,1570,1623,1680
38,69,94,119,154,206,309,473,677,884,1074,1248,1409,1559,1691,1805,1908,2002,2087,2168,2246,2326,2410,2500
49,92,129,169,228,315,463,679,939,1202,1446,1670,1877,2070,2239,2385,2518,2640,2752,2860,2968,3081,3201,3328
61,118,171,233,327,462,664,937,1254,1571,1866,2138,2389,2622,2827,3005,3169,3322,3466,3607,3751,3904,4067,4239
77,151,222,306,432,614,876,1215,1597,1973,2320,2638,2931,3204,3447,3661,3859,4046,4226,4406,4590,4787,5000,5226
96,188,276,381,543,783,1117,1530,1978,2411,2808,3169,3501,3811,4091,4342,4577,4801,5021,5245,5477,5728,6001,6290
113,221,327,462,679,995,1412,1901,2413,2898,3340,3742,4112,4459,4778,5070,5347,5616,5885,6163,6453,6765,7100,7451
126,250,386,575,873,1281,1784,2347,2919,3453,3938,4382,4793,5181,5544,5884,6212,6536,6864,7206,7560,7934,8326,8731
139,287,475,745,1139,1642,2228,2861,3491,4076,4609,5101,5559,5995,6409,6806,7195,7583,7977,8385,8803,9237,9684,10141
158,341,593,952,1442,2036,2701,3400,4086,4723,5305,5844,6350,6838,7311,7774,8234,8693,9155,9627,10108,10602,11105,11616
177,394,707,1152,1737,2420,3161,3923,4664,5353,5987,6581,7147,7700,8243,8778,9311,9842,10373,10911,11456,12013,12578,13152
203,460,840,1375,2056,2828,3646,4475,5278,6028,6727,7390,8029,8656,9270,9872,10471,11068,11666,12272,12885,13509,14142,14787
251,570,1035,1670,2447,3309,4208,5112,5989,6814,7591,8332,9046,9743,10420,11079,11736,12395,13060,13736,14420,15114,15818,16538
332,741,1305,2040,2908,3855,4834,5817,6773,7675,8523,9328,10101,10856,11590,12309,13031,13761,14500,15249,16004,16768,17542,18335
416,911,1563,2385,3334,4354,5402,6453,7477,8443,9350,10211,11043,11862,12665,13458,14257,15066,15883,16705,17529,18360,19203,20068
485,1050,1776,2676,3698,4785,5898,7014,8102,9129,10096,11020,11919,12810,13689,14562,15443,16333,17228,18123,19015,19912,20823,21759
548,1177,1974,2950,4045,5201,6384,7570,8726,9819,10853,11848,12822,13791,14750,15704,16667,17637,18609,19576,20537,21502,22482,23487
622,1326,2201,3257,4431,5664,6925,8189,9420,10585,11689,12757,13809,14861,15903,16939,17983,19033,20082,21121,22153,23189,24239,25312
705,1492,2450,3590,4849,6169,7516,8863,10171,11407,12581,13725,14860,15999,17127,18247,19374,20504,21628,22738,23841,24948,26066,27204
791,1665,2711,3939,5286,6693,8124,9550,10930,12235,13485,14714,15939,17169,18386,19594,20805,22014,23214,24400,25576,26751,27934,29138
874,1833,2965,4278,5707,7193,8701,10201,11652,13030,14362,15680,16996,18316,19621,20914,22206,23494,24772,26035,27282,28522,29769,31040
952,1991,3203,4594,6099,7659,9241,10815,12342,13798,15214,16619,18024,19432,20823,22199,23572,24941,26299,27636,28951,30255,31566,32904
1026,2141,3428,4892,6471,8107,9766,11418,13025,14560,16056,17546,19040,20538,22017,23481,24940,26393,27831,29240,30621,31988,33363,34767
