125,250,379,510,634,751,871,988,1101,1221,1340,1460,1582,1705,1828,1944,2049,2149,2251,2356,2465,2576,2686,2793
250,498,755,1015,1256,1477,1706,1935,2161,2404,2650,2896,3145,3399,3652,3888,4104,4312,4525,4738,4954,5171,5384,5592
375,744,1126,1515,1876,2203,2539,2876,3210,3571,3948,4324,4701,5085,5467,5821,6145,6460,6787,7115,7442,7763,8073,8375
493,976,1475,1988,2474,2917,3364,3805,4238,4705,5206,5708,6206,6711,7216,7682,8107,8521,8956,9400,9840,10265,10672,11069
599,1184,1788,2414,3018,3574,4130,4672,5200,5767,6381,6996,7604,8221,8843,9420,9944,10451,10985,11536,12083,12612,13122,13624
704,1395,2110,2849,3562,4223,4886,5535,6170,6848,7577,8302,9016,9740,10472,11158,11785,12388,13016,13665,14314,14947,15561,16168
817,1619,2446,3300,4126,4895,5664,6418,7159,7949,8794,9634,10460,11296,12142,12937,13666,14369,15101,15857,16611,17349,18070,18786
934,1848,2785,3751,4689,5568,6441,7294,8135,9031,9984,10934,11870,12816,13773,14675,15508,16316,17157,18020,18878,19719,20542,21357
1049,2076,3123,4198,5244,6232,7209,8162,9104,10106,11162,12216,13259,14313,15377,16385,17325,18241,19188,20152,21112,22055,22974,23875
1162,2303,3464,4651,5806,6904,7990,9054,10112,11236,12406,13573,14731,15902,17079,18195,19240,20260,21311,22380,23449,24499,25518,26513
1274,2527,3800,5099,6364,7565,8753,9920,11083,12317,13596,14871,16136,17414,18697,19914,21058,22177,23329,24501,25681,26845,27974,29073
1381,2742,4123,5532,6911,8220,9515,10790,12061,13405,14800,16188,17559,18939,20327,21647,22896,24122,25379,26652,27935,29200,30427,31624
1482,2946,4432,5950,7444,8867,10273,11659,13042,14496,16008,17510,18988,20471,21965,23386,24736,26066,27429,28802,30181,31537,32857,34155
1582,3147,4738,6365,7969,9504,11017,12509,13999,15556,17176,18784,20365,21950,23547,25061,26501,27927,29393,30866,32341,33792,35214,36626
1689,3361,5061,6798,8509,10151,11768,13362,14953,16610,18332,20043,21724,23406,25100,26708,28245,29774,31344,32915,34492,36051,37586,39112
1802,3587,5400,7249,9066,10813,12539,14242,15940,17709,19541,21363,23156,24946,26739,28440,30072,31699,33367,35037,36722,38392,40039,41680
1917,3815,5739,7695,9614,11464,13301,15118,16931,18818,20760,22691,24595,26495,28392,30190,31919,33644,35409,37182,38982,40768,42528,44282
2035,4047,6080,8138,10151,12099,14044,15976,17908,19914,21963,23996,26002,28005,30008,31908,33736,35560,37424,39301,41214,43112,44980,46842
2151,4275,6414,8568,10666,12703,14745,16783,18826,20942,23093,25221,27318,29413,31518,33519,35446,37368,39332,41308,43321,45315,47278,49239
2242,4456,6683,8920,11092,13206,15330,17451,19576,21777,24016,26228,28404,30580,32775,34871,36896,38919,40985,43058,45162,47242,49289,51338
2315,4601,6900,9208,11450,13639,15843,18045,20250,22536,24866,27169,29432,31692,33973,36158,38275,40395,42562,44734,46935,49110,51251,53394
2391,4752,7126,9509,11828,14097,16386,18676,20971,23351,25780,28185,30548,32903,35275,37546,39747,41955,44218,46490,48793,51072,53317,55562
2481,4932,7396,9870,12282,14643,17026,19415,21812,24292,26821,29330,31800,34259,36732,39095,41380,43671,46025,48397,50806,53195,55551,57906
2579,5129,7695,10274,12794,15261,17749,20245,22749,25328,27951,30558,33132,35699,38281,40746,43120,45494,47937,50411,52929,55432,57905,60379
