161,359,579,797,1011,1227,1448,1671,1894,2115,2330,2539,2742,2938,3124,3304,3486,3673,3860,4031,4151,4252,4351,4441
324,720,1160,1599,2032,2468,2911,3356,3800,4239,4667,5084,5488,5877,6249,6609,6968,7335,7703,8037,8279,8501,8725,8920
478,1067,1726,2388,3043,3703,4369,5034,5695,6348,6984,7604,8204,8782,9338,9875,10404,10941,11478,11959,12332,12700,13078,13406
620,1397,2274,3159,4037,4921,5809,6693,7569,8432,9271,10088,10879,11642,12374,13079,13769,14463,15149,15755,16262,16786,17327,17805
762,1727,2822,3929,5028,6135,7244,8347,9438,10512,11554,12567,13548,14493,15392,16254,17095,17931,18742,19450,20079,20745,21433,22052
915,2074,3389,4718,6039,7371,8703,10027,11337,12627,13878,15094,16271,17401,18469,19490,20482,21457,22389,23201,23942,24730,25542,26282
1071,2425,3960,5511,7055,8612,10167,11712,13243,14752,16216,17637,19009,20322,21560,22745,23890,25008,26077,27022,27888,28799,29733,30591
1228,2778,4533,6306,8072,9852,11628,13393,15144,16872,18548,20170,21731,23219,24623,25971,27267,28531,29753,30851,31851,32894,33963,34951
1383,3127,5101,7095,9080,11080,13074,15057,17025,18968,20849,22663,24401,26054,27617,29118,30556,31965,33347,34602,35732,36908,38123,39255
1533,3464,5652,7864,10064,12280,14490,16690,18874,21026,23101,25093,26996,28806,30519,32158,33722,35268,36813,38227,39478,40772,42124,43404
1679,3788,6182,8608,11019,13447,15871,18287,20684,23036,25293,27448,29504,31463,33318,35083,36760,38431,40130,41699,43061,44450,45919,47347
1836,4122,6715,9349,11964,14600,17237,19866,22469,25010,27436,29742,31940,34038,36024,37909,39692,41481,43333,45056,46519,47978,49539,51108
2022,4498,7288,10123,12937,15778,18626,21462,24259,26976,29558,32006,34337,36563,38674,40680,42564,44464,46471,48356,49927,51448,53078,54765
2230,4901,7879,10906,13919,16966,20023,23058,26035,28914,31641,34222,36678,39025,41263,43395,45375,47376,49537,51593,53295,54889,56575,58349
2415,5242,8372,11578,14796,18055,21319,24545,27690,30720,33582,36288,38863,41330,43699,45955,48024,50119,52428,54651,56497,58182,59926,61767
2557,5483,8720,12090,15515,18987,22453,25862,29170,32345,35340,38170,40865,43453,45948,48321,50474,52654,55092,57456,59426,61197,62995,64883
2696,5704,9026,12543,16169,19848,23509,27094,30561,33880,37013,39973,42791,45496,48104,50585,52816,55063,57588,60040,62086,63913,65750,67669
2856,5959,9361,13009,16826,20703,24550,28304,31925,35390,38665,41757,44691,47496,50197,52770,55067,57359,59929,62422,64503,66359,68221,70164
3032,6245,9726,13486,17473,21525,25535,29437,33196,36796,40199,43403,46426,49301,52069,54707,57050,59370,61964,64481,66588,68471,70361,72335
3196,6521,10074,13914,18019,22187,26301,30297,34145,37832,41312,44577,47645,50557,53363,56036,58406,60748,63365,65911,68055,69981,71920,73950
3295,6691,10291,14175,18336,22557,26718,30756,34645,38373,41889,45184,48280,51221,54055,56751,59142,61507,64154,66739,68936,70925,72937,75050
3338,6769,10396,14305,18492,22737,26920,30980,34892,38644,42189,45521,48663,51652,54521,57241,59655,62050,64737,67371,69631,71694,73791,76000
3361,6816,10470,14409,18629,22908,27127,31228,35184,38979,42580,45985,49209,52271,55183,57930,60372,62805,65540,68232,70563,72707,74894,77200
3393,6882,10576,14563,18838,23175,27459,31635,35671,39542,43233,46745,50077,53223,56178,58953,61426,63900,66687,69444,71854,74085,76364,78766
