101,209,312,408,518,661,824,997,1173,1345,1508,1667,1825,1982,2136,2285,2424,2553,2672,2773,2858,2929,2987,3036
200,389,563,729,906,1132,1409,1733,2087,2441,2778,3105,3429,3752,4068,4368,4636,4865,5057,5211,5339,5450,5549,5641
298,571,829,1083,1339,1638,1994,2414,2888,3389,3896,4393,4879,5353,5795,6194,6536,6821,7059,7252,7414,7558,7690,7814
401,783,1156,1526,1890,2280,2701,3171,3705,4305,4964,5623,6256,6846,7354,7791,8166,8494,8788,9039,9255,9448,9620,9773
517,1017,1498,1961,2409,2867,3339,3859,4459,5151,5951,6764,7527,8198,8736,9204,9641,10051,10419,10731,11002,11249,11471,11666
641,1258,1822,2348,2878,3382,3902,4486,5163,5949,6887,7856,8744,9478,10035,10534,11060,11572,11989,12328,12626,12906,13169,13413
771,1508,2170,2784,3417,4007,4606,5270,6036,6930,8006,9128,10137,10929,11507,12040,12657,13273,13749,14135,14474,14791,15097,15397
906,1774,2561,3296,4052,4760,5468,6237,7114,8131,9347,10617,11743,12595,13204,13770,14459,15170,15729,16193,16594,16967,17335,17704
1044,2056,2989,3868,4764,5605,6443,7343,8353,9504,10863,12280,13522,14439,15094,15697,16441,17235,17893,18453,18937,19392,19845,20295
1186,2347,3438,4481,5541,6540,7529,8575,9728,11023,12530,14101,15467,16456,17172,17830,18638,19513,20270,20937,21535,22100,22647,23177
1327,2637,3888,5097,6320,7477,8623,9824,11129,12572,14233,15969,17471,18542,19320,20042,20926,21894,22759,23544,24264,24943,25583,26185
1465,2921,4331,5709,7101,8425,9738,11106,12572,14163,15983,17892,19542,20707,21549,22326,23282,24348,25328,26235,27079,27869,28595,29261
1597,3193,4758,6304,7869,9368,10855,12394,14021,15755,17734,19819,21620,22878,23776,24596,25613,26773,27872,28900,29864,30756,31558,32280
1727,3460,5175,6884,8620,10295,11956,13663,15445,17317,19447,21696,23631,24962,25902,26762,27837,29086,30303,31448,32521,33502,34369,35140
1863,3735,5596,7463,9367,11213,13042,14913,16851,18862,21130,23510,25539,26915,27893,28802,29947,31292,32624,33875,35040,36095,37019,37839
2014,4030,6035,8052,10114,12125,14116,16142,18227,20379,22786,25289,27414,28857,29886,30857,32079,33521,34964,36304,37543,38661,39642,40517
2178,4344,6494,8661,10876,13045,15194,17375,19613,21915,24469,27103,29344,30890,31998,33049,34351,35881,37424,38846,40153,41340,42390,43327
2360,4681,6978,9300,11669,13992,16280,18594,20968,23405,26095,28857,31217,32869,34058,35179,36542,38143,39781,41291,42673,43940,45070,46071
2570,5051,7492,9973,12501,14977,17383,19795,22268,24809,27607,30477,32935,34667,35916,37080,38478,40141,41886,43496,44963,46316,47526,48585
2804,5448,8027,10664,13351,15978,18522,21057,23643,26297,29203,32175,34729,36550,37873,39095,40552,42307,44184,45903,47457,48891,50171,51276
3050,5864,8578,11363,14208,16992,19690,22373,25099,27886,30922,34014,36675,38587,39984,41276,42812,44675,46686,48502,50134,51636,52969,54108
3262,6213,9039,11962,14961,17904,20765,23612,26499,29437,32614,35832,38606,40623,42117,43505,45142,47118,49243,51134,52830,54385,55757,56929
3397,6439,9357,12408,15552,18650,21676,24693,27750,30855,34185,37539,40439,42582,44201,45709,47461,49543,51756,53704,55450,57044,58449,59659
3460,6573,9586,12759,16039,19287,22476,25663,28893,32175,35678,39192,42240,44524,46278,47913,49780,51957,54240,56238,58023,59648,61086,62339
