120,251,388,525,664,801,944,1100,1273,1455,1629,1800,1981,2173,2356,2523,2668,2795,2912,3027,3133,3224,3295,3348
236,490,746,994,1247,1503,1782,2093,2433,2791,3142,3478,3828,4205,4560,4885,5174,5430,5662,5883,6082,6250,6385,6494
347,709,1066,1410,1762,2112,2489,2910,3379,3887,4398,4884,5387,5930,6435,6892,7294,7652,7990,8329,8637,8890,9090,9258
451,911,1369,1824,2291,2740,3198,3698,4262,4888,5532,6162,6817,7510,8138,8702,9192,9631,10066,10528,10957,11309,11584,11816
550,1109,1682,2273,2882,3460,4035,4645,5315,6045,6810,7594,8419,9262,9992,10659,11256,11797,12327,12886,13407,13851,14213,14520
653,1315,1992,2686,3390,4043,4712,5427,6205,7060,7941,8865,9849,10834,11663,12441,13162,13820,14449,15112,15724,16258,16712,17107
782,1563,2350,3152,3968,4737,5534,6376,7277,8264,9260,10312,11445,12573,13501,14398,15258,16063,16838,17638,18367,19006,19565,20068
936,1856,2772,3705,4664,5592,6551,7542,8579,9701,10812,11985,13258,14526,15550,16563,17562,18523,19465,20424,21291,22051,22726,23348
1097,2171,3236,4321,5442,6538,7665,8816,10001,11259,12486,13776,15183,16588,17709,18825,19953,21064,22165,23287,24300,25190,25986,26724
1244,2472,3695,4943,6239,7508,8800,10118,11467,12856,14198,15601,17140,18690,19922,21129,22380,23649,24913,26197,27357,28379,29294,30140
1378,2749,4123,5528,6990,8432,9903,11402,12917,14432,15885,17401,19073,20772,22130,23428,24799,26226,27652,29093,30395,31546,32577,33528
1502,3006,4518,6066,7684,9299,10955,12638,14316,15953,17516,19146,20952,22804,24299,25691,27179,28763,30354,31950,33390,34664,35804,36855
1620,3249,4889,6567,8330,10114,11951,13808,15636,17394,19073,20817,22752,24754,26388,27874,29468,31195,32948,34695,36270,37662,38906,40053
1736,3485,5247,7050,8949,10893,12897,14910,16875,18755,20552,22406,24458,26591,28348,29923,31610,33460,35361,37252,38960,40469,41816,43057
1849,3714,5598,7530,9569,11666,13817,15971,18074,20080,21984,23944,26103,28336,30185,31845,33627,35592,37624,39655,41499,43128,44575,45905
1960,3941,5948,8011,10187,12427,14718,17006,19240,21375,23398,25486,27776,30129,32090,33850,35733,37804,39950,42113,44091,45841,47389,48804
2066,4156,6280,8471,10782,13158,15580,17993,20352,22619,24772,27000,29433,31923,34017,35892,37883,40057,42304,44585,46692,48562,50209,51705
2168,4362,6599,8916,11361,13865,16408,18939,21419,23817,26102,28466,31040,33672,35901,37893,39993,42269,44612,46999,49229,51219,52965,54538
2268,4568,6921,9366,11945,14570,17227,19869,22460,24976,27380,29865,32567,35331,37678,39775,41973,44344,46781,49273,51623,53733,55579,57226
2369,4773,7239,9811,12528,15277,18044,20781,23457,26062,28559,31145,33952,36820,39263,41449,43725,46171,48695,51300,53774,55996,57931,59649
2469,4977,7554,10248,13100,15982,18880,21735,24512,27214,29813,32516,35449,38439,40995,43275,45632,48160,50784,53516,56116,58445,60460,62237
2570,5182,7869,10681,13661,16674,19707,22689,25579,28388,31093,33908,36956,40058,42720,45095,47542,50163,52891,55744,58462,60893,62980,64799
2671,5387,8185,11115,14217,17352,20510,23615,26623,29551,32373,35301,38458,41666,44433,46911,49461,52183,55011,57968,60791,63315,65465,67313
2769,5589,8501,11551,14773,18025,21300,24524,27657,30720,33683,36751,40043,43381,46278,48880,51545,54372,57297,60348,63269,65877,68080,69954
