42,74,98,121,148,180,218,268,346,474,654,869,1100,1336,1576,1814,2051,2282,2501,2708,2903,3081,3243,3396
113,197,258,318,392,483,591,725,917,1208,1589,2030,2495,2964,3444,3912,4375,4826,5251,5650,6026,6372,6689,6988
199,349,461,571,705,868,1064,1307,1638,2108,2695,3359,4046,4725,5410,6061,6692,7299,7868,8400,8910,9385,9823,10242
280,502,678,852,1055,1289,1566,1907,2358,2972,3725,4571,5436,6275,7103,7871,8598,9293,9950,10569,11179,11746,12266,12771
353,652,914,1180,1472,1782,2126,2536,3063,3759,4609,5569,6549,7492,8423,9273,10069,10840,11593,12314,13037,13695,14282,14854
426,809,1191,1602,2020,2428,2858,3357,3979,4769,5714,6773,7853,8909,9996,10974,11874,12744,13602,14429,15257,16008,16673,17315
502,968,1445,1957,2469,2951,3457,4042,4759,5651,6706,7890,9094,10266,11491,12591,13601,14568,15507,16407,17308,18133,18875,19597
598,1162,1733,2337,2946,3516,4117,4805,5627,6629,7814,9161,10521,11812,13156,14377,15509,16589,17622,18609,19596,20509,21346,22174
721,1411,2113,2853,3604,4314,5055,5881,6831,7950,9283,10820,12360,13782,15249,16610,17891,19119,20295,21424,22548,23594,24563,25528
861,1698,2560,3469,4388,5266,6172,7156,8247,9487,10980,12715,14449,16026,17623,19142,20595,21996,23346,24649,25946,27160,28290,29410
1011,2005,3039,4134,5244,6312,7405,8559,9794,11171,12837,14777,16716,18468,20212,21897,23535,25129,26671,28168,29659,31063,32372,33658
1169,2329,3546,4838,6149,7416,8703,10027,11409,12943,14793,16945,19096,21036,22952,24809,26629,28413,30148,31840,33527,35120,36606,38057
1328,2653,4052,5540,7048,8510,9989,11485,13021,14720,16758,19124,21490,23624,25723,27753,29751,31724,33656,35548,37434,39219,40884,42503
1482,2966,4542,6224,7927,9582,11249,12919,14615,16477,18699,21276,23857,26187,28466,30669,32840,34997,37130,39231,41324,43309,45161,46953
1636,3285,5048,6939,8860,10721,12571,14402,16251,18277,20680,23464,26260,28791,31255,33629,35950,38259,40572,42870,45163,47341,49372,51330
1781,3581,5512,7588,9696,11725,13726,15703,17699,19872,22442,25422,28424,31145,33774,36298,38759,41202,43650,46099,48559,50907,53101,55214
1916,3854,5935,8167,10417,12562,14667,16750,18851,21112,23785,26903,30059,32913,35641,38255,40812,43351,45887,48429,51006,53493,55834,58091
2042,4110,6326,8683,11025,13239,15404,17548,19705,22003,24717,27900,31133,34050,36816,39467,42071,44663,47251,49843,52491,55087,57563,59955
2163,4357,6694,9144,11535,13788,15991,18172,20363,22689,25427,28632,31886,34823,37608,40282,42913,45536,48158,50784,53477,56163,58766,61286
2276,4588,7033,9557,11982,14270,16521,18759,21006,23380,26160,29408,32703,35675,38494,41210,43887,46555,49215,51871,54604,57375,60099,62738
2378,4794,7329,9912,12368,14706,17037,19366,21699,24156,27021,30355,33734,36789,39691,42500,45269,48024,50760,53458,56230,59076,61908,64655
2463,4960,7562,10192,12686,15089,17525,19977,22431,25015,28015,31487,35005,38199,41237,44184,47084,49966,52818,55583,58400,61308,64226,67062
2526,5081,7730,10398,12936,15412,17963,20551,23144,25874,29026,32656,36333,39684,42875,45971,49016,52043,55030,57882,60751,63709,66689,69593
2572,5172,7858,10558,13139,15690,18354,21075,23801,26662,29946,33710,37522,41006,44327,47557,50740,53908,57026,59967,62890,65893,68923,71880
