73,176,332,538,770,1013,1261,1512,1763,2013,2263,2514,2765,3016,3267,3518,3768,4017,4263,4508,4748,4971,5168,5342
171,394,712,1120,1576,2057,2550,3049,3549,4047,4544,5043,5543,6043,6542,7041,7536,8024,8501,8972,9432,9866,10257,10604
285,631,1084,1637,2246,2892,3561,4252,4962,5681,6405,7135,7867,8593,9305,10002,10678,11329,11953,12561,13157,13739,14286,14785
395,847,1396,2033,2721,3455,4218,5019,5867,6751,7658,8584,9511,10414,11278,12098,12872,13604,14297,14964,15620,16282,16932,17548
490,1029,1661,2376,3131,3939,4769,5629,6545,7529,8568,9656,10741,11769,12729,13620,14453,15247,16010,16741,17456,18182,18908,19612
585,1212,1919,2695,3497,4344,5216,6127,7105,8172,9352,10631,11901,13061,14112,15070,15951,16782,17582,18359,19123,19912,20719,21513
680,1391,2168,3000,3845,4721,5630,6585,7616,8765,10083,11550,12995,14272,15408,16420,17337,18195,19023,19852,20672,21525,22410,23293
788,1598,2462,3369,4279,5208,6174,7186,8277,9516,10990,12665,14301,15703,16923,17994,18962,19869,20750,21652,22549,23483,24458,25442
927,1876,2865,3878,4883,5900,6952,8048,9224,10571,12238,14157,16019,17577,18888,20042,21093,22085,23054,24049,25048,26094,27192,28307
1107,2244,3399,4543,5665,6792,7952,9158,10451,11938,13823,15991,18084,19819,21239,22498,23657,24756,25830,26934,28059,29254,30517,31798
1300,2654,4022,5354,6649,7949,9289,10673,12141,13822,15945,18366,20696,22628,24190,25587,26893,28140,29358,30623,31934,33331,34792,36255
1485,3047,4642,6204,7724,9250,10817,12406,14064,15970,18340,21014,23582,25720,27452,28996,30460,31884,33289,34756,36288,37907,39574,41225
1661,3407,5209,7001,8757,10511,12280,14042,15879,18021,20641,23568,26371,28709,30608,32288,33888,35470,37060,38735,40484,42317,44185,46022
1828,3736,5708,7686,9634,11560,13459,15349,17361,19736,22601,25774,28803,31332,33389,35193,36899,38593,40323,42172,44101,46120,48172,50179
1975,4030,6145,8257,10324,12347,14344,16372,18573,21156,24242,27632,30863,33581,35821,37753,39562,41358,43195,45165,47228,49389,51583,53727
2102,4294,6558,8814,10998,13115,15213,17353,19672,22381,25607,29133,32489,35328,37698,39748,41668,43573,45525,47625,49822,52111,54424,56682
2217,4540,6950,9345,11643,13881,16110,18358,20748,23518,26810,30399,33814,36718,39178,41347,43405,45449,47530,49767,52101,54514,56937,59300
2326,4774,7318,9839,12250,14620,16983,19329,21768,24569,27889,31504,34946,37889,40419,42695,44892,47082,49299,51675,54149,56687,59218,61685
2433,5000,7672,10317,12840,15317,17776,20190,22667,25496,28845,32487,35957,38937,41527,43883,46178,48480,50821,53335,55949,58612,61252,63824
2540,5223,8028,10803,13416,15959,18485,20958,23476,26342,29737,33422,36929,39951,42600,45021,47380,49750,52178,54815,57559,60341,63088,65765
2645,5438,8369,11264,13951,16543,19115,21636,24200,27108,30545,34268,37811,40870,43560,46024,48423,50838,53333,56076,58936,61828,64679,67459
2747,5645,8689,11693,14465,17136,19791,22394,25031,28003,31497,35276,38879,42003,44760,47292,49756,52236,54806,57646,60610,63605,66557,69437
2844,5843,8991,12102,14988,17789,20586,23319,26059,29116,32684,36538,40225,43445,46308,48952,51526,54108,56773,59708,62770,65864,68914,71890
2938,6036,9288,12514,15537,18501,21470,24353,27205,30349,33989,37914,41682,45001,47984,50761,53468,56172,58944,61977,65137,68329,71475,74544
