102,211,333,472,629,793,961,1128,1288,1437,1580,1716,1851,1985,2107,2213,2300,2366,2413,2456,2502,2538,2563,2588
216,448,695,952,1220,1502,1804,2122,2442,2747,3036,3306,3569,3827,4060,4250,4397,4515,4622,4739,4859,4950,5009,5062
348,726,1124,1520,1904,2292,2705,3150,3614,4071,4505,4903,5279,5640,5959,6213,6419,6607,6798,7002,7199,7344,7437,7517
479,997,1544,2086,2596,3087,3596,4145,4731,5327,5907,6431,6907,7348,7730,8045,8334,8623,8908,9178,9425,9606,9725,9830
576,1185,1824,2455,3037,3597,4180,4819,5516,6241,6973,7628,8199,8707,9146,9534,9923,10322,10690,10991,11265,11467,11604,11734
646,1317,2055,2800,3440,4085,4755,5498,6323,7173,8047,8827,9487,10059,10568,11031,11531,12060,12527,12871,13184,13413,13569,13726
725,1467,2298,3151,3873,4608,5373,6228,7181,8153,9155,10049,10793,11425,11998,12535,13124,13747,14292,14686,15041,15305,15493,15687
825,1663,2595,3558,4391,5229,6103,7079,8157,9245,10361,11356,12179,12871,13499,14106,14772,15470,16084,16542,16957,17277,17515,17753
947,1909,2967,4056,5015,5977,6982,8090,9291,10492,11721,12817,13723,14481,15162,15830,16575,17362,18063,18608,19112,19516,19820,20105
1089,2197,3398,4622,5715,6820,7979,9228,10548,11872,13233,14453,15461,16296,17036,17754,18569,19454,20268,20921,21530,22033,22415,22749
1234,2493,3846,5224,6480,7757,9075,10467,11924,13393,14916,16278,17389,18297,19105,19882,20749,21714,22655,23434,24155,24751,25203,25586
1366,2769,4283,5838,7281,8735,10199,11709,13268,14838,16495,17979,19172,20129,20986,21821,22740,23787,24867,25781,26619,27310,27831,28264
1488,3032,4715,6462,8100,9719,11318,12931,14572,16229,17997,19576,20830,21825,22721,23611,24598,25745,26965,28011,28963,29746,30335,30818
1607,3291,5143,7079,8905,10677,12412,14141,15886,17661,19545,21215,22536,23587,24538,25491,26565,27826,29172,30336,31388,32251,32901,33431
1719,3533,5539,7646,9646,11571,13452,15318,17186,19075,21072,22856,24281,25416,26441,27479,28650,30013,31459,32718,33853,34784,35486,36055
1821,3752,5893,8150,10310,12387,14416,16415,18400,20408,22534,24440,25971,27196,28297,29411,30664,32113,33644,34980,36184,37174,37920,38520
1911,3944,6202,8590,10894,13115,15280,17400,19498,21632,23893,25921,27552,28858,30024,31198,32509,34020,35617,37016,38280,39321,40104,40731
1994,4118,6481,8988,11422,13769,16044,18269,20484,22753,25151,27310,29056,30456,31702,32941,34299,35854,37505,38960,40279,41364,42178,42829
2077,4288,6750,9371,11925,14378,16738,19058,21402,23823,26373,28688,30586,32123,33491,34816,36224,37818,39521,41031,42402,43526,44367,45041
2160,4456,7013,9741,12407,14961,17416,19847,22338,24941,27675,30172,32247,33947,35445,36851,38306,39938,41687,43249,44667,45825,46690,47386
2222,4595,7242,10067,12836,15493,18047,20576,23179,25923,28805,31443,33649,35463,37040,38493,39982,41650,43443,45052,46509,47696,48583,49300
2268,4709,7438,10349,13212,15970,18623,21244,23935,26769,29739,32462,34747,36629,38254,39743,41266,42971,44805,46454,47943,49154,50060,50795
2303,4799,7598,10584,13530,16380,19126,21839,24619,27537,30585,33386,35745,37690,39368,40903,42466,44207,46076,47757,49270,50500,51422,52173
2328,4864,7719,10772,13791,16723,19555,22359,25241,28278,31450,34373,36842,38877,40628,42218,43822,45596,47495,49201,50733,51979,52916,53681
