92,202,331,474,627,789,961,1148,1352,1566,1776,1983,2189,2394,2601,2818,3036,3254,3475,3687,3889,4076,4240,4384
196,416,662,929,1213,1512,1830,2180,2567,2978,3387,3794,4202,4610,5023,5458,5895,6329,6768,7196,7611,8007,8367,8688
307,638,989,1354,1734,2128,2544,3005,3525,4089,4663,5243,5829,6417,7011,7630,8242,8840,9441,10035,10621,11196,11737,12234
415,853,1298,1739,2182,2631,3100,3622,4221,4886,5581,6297,7027,7759,8491,9235,9954,10644,11333,12021,12714,13410,14087,14730
515,1047,1572,2073,2558,3041,3543,4104,4753,5485,6268,7093,7943,8791,9622,10445,11227,11969,12708,13455,14228,15023,15815,16585
606,1223,1821,2378,2901,3412,3944,4542,5239,6036,6906,7841,8813,9776,10695,11582,12413,13194,13969,14765,15611,16505,17416,18314
702,1408,2089,2723,3312,3878,4461,5112,5869,6739,7697,8737,9823,10892,11894,12845,13730,14558,15380,16238,17167,18162,19189,20214
808,1615,2395,3128,3810,4459,5116,5838,6671,7625,8677,9837,11055,12241,13332,14356,15309,16207,17103,18050,19082,20190,21340,22498
923,1844,2740,3589,4382,5134,5884,6696,7620,8668,9826,11135,12525,13861,15056,16167,17208,18202,19203,20265,21423,22667,23963,25274
1047,2091,3116,4100,5022,5896,6761,7683,8713,9864,11142,12618,14206,15723,17038,18252,19399,20509,21636,22833,24139,25549,27023,28514
1179,2348,3505,4633,5697,6705,7699,8744,9888,11149,12564,14219,16021,17745,19199,20528,21796,23043,24323,25686,27173,28784,30469,32166
1318,2613,3897,5160,6358,7493,8612,9778,11036,12413,13980,15828,17856,19800,21405,22851,24239,25626,27066,28606,30288,32115,34026,35943
1462,2887,4296,5686,7008,8260,9495,10777,12152,13655,15387,17440,19701,21873,23648,25219,26721,28236,29825,31533,33403,35441,37575,39710
1607,3165,4701,6217,7658,9021,10366,11763,13261,14900,16800,19056,21544,23941,25905,27619,29235,30863,32585,34445,36492,38732,41080,43423
1747,3433,5092,6729,8283,9753,11209,12724,14345,16111,18162,20595,23276,25869,28017,29892,31631,33366,35214,37223,39449,41896,44459,47006
1882,3691,5464,7211,8868,10442,12012,13647,15385,17261,19434,22004,24832,27577,29881,31914,33787,35635,37601,39747,42138,44776,47539,50277
2010,3936,5816,7664,9420,11098,12781,14533,16384,18364,20640,23316,26257,29127,31576,33769,35795,37778,39865,42135,44670,47477,50419,53327
2131,4172,6158,8105,9957,11735,13523,15384,17345,19430,21808,24584,27630,30620,33215,35571,37762,39897,42114,44502,47165,50125,53230,56288
2247,4403,6499,8546,10488,12352,14231,16190,18255,20448,22939,25830,28994,32112,34853,37366,39713,41993,44342,46850,49639,52748,56011,59211
2362,4635,6845,8995,11024,12961,14916,16963,19127,21428,24034,27048,30341,33594,36477,39131,41604,43997,46458,49087,52014,55284,58709,62047
2471,4858,7184,9445,11574,13597,15632,17767,20035,22453,25185,28336,31780,35196,38240,41036,43619,46109,48682,51445,54530,57976,61568,65043
2574,5071,7513,9891,12135,14268,16402,18635,21011,23548,26411,29708,33315,36905,40117,43064,45779,48397,51111,54031,57292,60924,64684,68291
2666,5260,7806,10294,12653,14904,17148,19486,21970,24624,27617,31059,34825,38582,41960,45072,47956,50746,53632,56729,60176,63995,67915,71639
2744,5417,8048,10629,13089,15446,17796,20238,22828,25597,28716,32296,36211,40125,43670,46961,50034,53014,56084,59365,63000,67000,71066,74889
